"","id","name","date","subject_line","sent","delivered","delivered_rate","unique_opens","open_rate","ORvsAvg","total_clicks","unique_clicks","unique_CTR","UCTRvsAvg","click_open_ratio","opt_outs","opt_out_rate","plaintext_rate","url","title","clicks","COR","url_chart","clicks_chart","COR_chart","url_question","clicks_question","COR_question","url_events","clicks_events","COR_events"
"1","1445284669","PEM 2023-08 Finance Newsletter",NA,"Climate Finance News & Updates",577,576,0.9983,263,0.457,0.079,77,53,0.092,0.53,0.201,5,0.87,"0.066","https://rmi.org/press-release/indonesia-boosts-energy-leadership-to-deliver-on-20-billion-commitment/","Indonesia Boosts Energy Leadership to Deliver on $20 Billion Commitment",4,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1445284669","PEM 2023-08 Finance Newsletter",NA,"Climate Finance News & Updates",577,576,0.9983,263,0.457,0.079,77,53,0.092,0.53,0.201,5,0.87,"0.066","https://rmi.org/press-release/major-global-corporations-join-with-rmi-to-advance-electric-sector-transformation/","Major Global Corporations Join with RMI to Advance Electric Sector Transformation",5,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1445284669","PEM 2023-08 Finance Newsletter",NA,"Climate Finance News & Updates",577,576,0.9983,263,0.457,0.079,77,53,0.092,0.53,0.201,5,0.87,"0.066","https://rmi.org/press-release/rmi-welcomes-ije-ikoku-okeke-as-managing-director-catalytic-climate-capital/","RMI Welcomes Ije Ikoku Okeke as Managing Director, Catalytic Climate Capital",6,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1445284669","PEM 2023-08 Finance Newsletter",NA,"Climate Finance News & Updates",577,576,0.9983,263,0.457,0.079,77,53,0.092,0.53,0.201,5,0.87,"0.066","https://rmi.org/radical-transparency-for-voluntary-carbon-markets/","Radical Transparency for Voluntary Carbon Markets",8,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1445284669","PEM 2023-08 Finance Newsletter",NA,"Climate Finance News & Updates",577,576,0.9983,263,0.457,0.079,77,53,0.092,0.53,0.201,5,0.87,"0.066","https://rmi.org/insight/unlocking-coal-contracts/","Unlocking Coal Contracts",8,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1445284669","PEM 2023-08 Finance Newsletter",NA,"Climate Finance News & Updates",577,576,0.9983,263,0.457,0.079,77,53,0.092,0.53,0.201,5,0.87,"0.066","https://rmi.org/a-bankers-guide-to-maximizing-climate-impact-through-multi-level-engagement/","A Banker’s Guide to Maximizing Climate Impact through Multi-Level Engagement",10,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1445284669","PEM 2023-08 Finance Newsletter",NA,"Climate Finance News & Updates",577,576,0.9983,263,0.457,0.079,77,53,0.092,0.53,0.201,5,0.87,"0.066","https://rmi.org/a-multi-billion-dollar-epa-fund-is-delivering-the-energy-transition-to-overlooked-communities/","A Multi-Billion Dollar EPA Fund Is Delivering the Energy Transition to Overlooked Communities",19,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1416023613","PEM 2023-07 Finance Newsletter",NA,"Climate Finance News & Updates",476,474,0.9958,200,0.422,0.044,62,37,0.078,0.391,0.185,1,0.21,"0","https://rmi.org/private-finance-is-coming-off-the-sidelines-on-mdb-reform/","Private Finance Is Coming off the Sidelines on MDB Reform",4,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1416023613","PEM 2023-07 Finance Newsletter",NA,"Climate Finance News & Updates",476,474,0.9958,200,0.422,0.044,62,37,0.078,0.391,0.185,1,0.21,"0","https://rmi.org/jetps-101-helping-emerging-economies-go-from-coal-to-clean/","JETPs 101: Helping Emerging Economies Go from Coal to Clean",4,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1416023613","PEM 2023-07 Finance Newsletter",NA,"Climate Finance News & Updates",476,474,0.9958,200,0.422,0.044,62,37,0.078,0.391,0.185,1,0.21,"0","https://rmi.org/insight/metrics-and-mechanisms-to-finance-managed-coal-phaseout/","Metrics and Mechanisms to Finance a Managed Coal Phaseout",6,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1416023613","PEM 2023-07 Finance Newsletter",NA,"Climate Finance News & Updates",476,474,0.9958,200,0.422,0.044,62,37,0.078,0.391,0.185,1,0.21,"0","https://rmi.org/clean-energy-101-book-and-claim/","Clean Energy 101: Book and Claim",7,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1416023613","PEM 2023-07 Finance Newsletter",NA,"Climate Finance News & Updates",476,474,0.9958,200,0.422,0.044,62,37,0.078,0.391,0.185,1,0.21,"0","https://rmi.org/what-needs-to-happen-for-the-new-climate-finance-goal-to-succeed/","What Needs to Happen for the New Climate Finance Goal to Succeed?",21,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/hydrogen-reality-check-green-hydrogen-can-scale-this-decade/","Reality Check: Green Hydrogen Can Scale This Decade",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/forging-a-clean-steel-economy-in-the-united-states/","Forging a Clean Steel Economy in the United States",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/five-ways-to-finance-early-coal-phaseout/","Five Ways to Finance Early Coal Phaseout",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/clean-energy-101-carbon-accounting/","Clean Energy 101: Carbon Accounting",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/clean-energy-101-esg/","Clean Energy 101: ESG",6,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/financing-1-5c-six-trends-to-watch-in-2023/","Financing 1.5°C: Six Trends to Watch in 2023",16,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/hydrogen-reality-check-green-hydrogen-can-scale-this-decade/","Reality Check: Green Hydrogen Can Scale This Decade",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/forging-a-clean-steel-economy-in-the-united-states/","Forging a Clean Steel Economy in the United States",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/five-ways-to-finance-early-coal-phaseout/","Five Ways to Finance Early Coal Phaseout",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/clean-energy-101-carbon-accounting/","Clean Energy 101: Carbon Accounting",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/clean-energy-101-esg/","Clean Energy 101: ESG",6,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/financing-1-5c-six-trends-to-watch-in-2023/","Financing 1.5°C: Six Trends to Watch in 2023",16,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/hydrogen-reality-check-green-hydrogen-can-scale-this-decade/","Reality Check: Green Hydrogen Can Scale This Decade",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/forging-a-clean-steel-economy-in-the-united-states/","Forging a Clean Steel Economy in the United States",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/five-ways-to-finance-early-coal-phaseout/","Five Ways to Finance Early Coal Phaseout",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/clean-energy-101-carbon-accounting/","Clean Energy 101: Carbon Accounting",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/clean-energy-101-esg/","Clean Energy 101: ESG",6,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/financing-1-5c-six-trends-to-watch-in-2023/","Financing 1.5°C: Six Trends to Watch in 2023",16,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/hydrogen-reality-check-green-hydrogen-can-scale-this-decade/","Reality Check: Green Hydrogen Can Scale This Decade",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/forging-a-clean-steel-economy-in-the-united-states/","Forging a Clean Steel Economy in the United States",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/five-ways-to-finance-early-coal-phaseout/","Five Ways to Finance Early Coal Phaseout",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/clean-energy-101-carbon-accounting/","Clean Energy 101: Carbon Accounting",1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/clean-energy-101-esg/","Clean Energy 101: ESG",6,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1305494793","PEM 2023-03 Finance Newsletter",NA,"Introducing: Tools for Climate Finance",207,206,0.9952,102,0.495,0.117,32,25,0.121,0.824,0.245,1,0.49,"0","https://rmi.org/financing-1-5c-six-trends-to-watch-in-2023/","Financing 1.5°C: Six Trends to Watch in 2023",16,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1580505715","NL 2024-01-21 Upcoming Events",2024-01-21,"Upcoming Webinar: Community Engagement in Regional Clean Hydrogen Hubs",5917,5911,0.999,2619,0.443,0.065,269,116,0.02,-0.194,0.044,6,0.1,"0","https://rmi.org/people/gareth-westler/","Gareth Westler",7,0.003,NA,NA,NA,NA,NA,NA,"https://rmi.org/events/",9,0.003
"38","1580505715","NL 2024-01-21 Upcoming Events",2024-01-21,"Upcoming Webinar: Community Engagement in Regional Clean Hydrogen Hubs",5917,5911,0.999,2619,0.443,0.065,269,116,0.02,-0.194,0.044,6,0.1,"0","https://rmi.org/about/","About",7,0.003,NA,NA,NA,NA,NA,NA,"https://rmi.org/events/",9,0.003
"39","1580505715","NL 2024-01-21 Upcoming Events",2024-01-21,"Upcoming Webinar: Community Engagement in Regional Clean Hydrogen Hubs",5917,5911,0.999,2619,0.443,0.065,269,116,0.02,-0.194,0.044,6,0.1,"0","https://rmi.org/people/hadia-sheerazi/","Hadia Sheerazi",8,0.003,NA,NA,NA,NA,NA,NA,"https://rmi.org/events/",9,0.003
